account_id,device_id
merchant_76f4c422c1,dev_0e87a636fc
merchant_d297bc5cb8,dev_deb946cc23
merchant_d297bc5cb8,dev_08cd9e3019
merchant_ef67567a32,dev_206e70f49c
merchant_1e82b251fb,dev_53ce0e5f4c
merchant_43683671a7,dev_dcd9464146
merchant_dea115b177,dev_11e581d6c4
merchant_e02f69a9e6,dev_50315c6fac
merchant_e02f69a9e6,dev_363b629cc6
merchant_dac725aa98,dev_3897b7d6f9
merchant_ced987d1b7,dev_498fcb96a8
merchant_611fe2c7a4,dev_9f0b083629
merchant_0ef04a24d3,dev_d51b7e0b21
merchant_5c0e0ad16a,dev_f4812ad682
merchant_0b88e5deed,dev_5e2477c524
merchant_955d0ef58c,dev_cc67c258b4
merchant_bd19748043,dev_f24bd05902
merchant_50642a5ba3,dev_4ac90e8bf2
merchant_533b76f79e,dev_8a5008db1f
merchant_32dfd968a8,dev_ac4d7d830a
merchant_32dfd968a8,dev_386046aa6f
merchant_32dfd968a8,dev_d1ce465d35
merchant_e6bfedf8d3,dev_3bf1dae372
merchant_85a984a4af,dev_57e4334e06
merchant_ade4dd935e,dev_07b2254521
merchant_d8d6fd44ca,dev_7f821c00b0
merchant_d2a420d1e1,dev_b09fe937ce
merchant_324aaa2dbd,dev_e053dbe41f
merchant_486ade3696,dev_0beeee3660
merchant_3f868a4ae4,dev_7b6fee280c
merchant_3f868a4ae4,dev_4ccc276feb
merchant_3f868a4ae4,dev_24605397e5
merchant_4d17ecbefa,dev_245ff7412a
merchant_4d17ecbefa,dev_7887d124c9
merchant_4d17ecbefa,dev_63eb1f4199
merchant_d8c9eefdde,dev_8a5d219281
merchant_490ebaa434,dev_e787ccb8c1
merchant_a2c8cb3913,dev_4a183065f7
merchant_75d03a8a4f,dev_53d271f929
merchant_023afeeaae,dev_05f8a6ba64
merchant_023afeeaae,dev_6dca1b5b72
merchant_411e45354b,dev_3d6179bfdd
merchant_4ee0c40a7c,dev_1834994f26
merchant_f196143ae3,dev_5d2dbaf095
merchant_ad651512db,dev_365e6513cf
merchant_ad651512db,dev_391489dd30
merchant_ecb73ddf74,dev_07054406fa
merchant_044b057689,dev_08cd9e3019
merchant_044b057689,dev_d37cadc8ad
merchant_bfd50c3962,dev_ff81ead6d2
merchant_bfd50c3962,dev_4d650bd0e8
merchant_2c618d37b1,dev_4dcd246aa7
merchant_13373ed8f6,dev_53d271f929
merchant_13373ed8f6,dev_d1327d5cb0
merchant_62eaba69ed,dev_e7e1f82be4
merchant_83ff3f8c24,dev_c1e16dd637
merchant_db2782bfe6,dev_961d7494d0
merchant_db2782bfe6,dev_e1e71f4e95
merchant_12015ab83d,dev_5cf16292ac
merchant_12015ab83d,dev_341b1f6e0e
merchant_853ef13172,dev_db393fa241
merchant_325fbc115b,dev_58994ef37c
merchant_325fbc115b,dev_bc6dd6c9bc
merchant_b838aaae4b,dev_842958b88b
merchant_b838aaae4b,dev_46409e2a14
merchant_da0a454260,dev_ee641d5425
merchant_856077ba67,dev_0e87a636fc
merchant_366b4dc189,dev_59f64e8372
