ring_id,ring_type,camouflage_level,account_id
ring_42f49fa701,shared_infra_promo_abuse,easy,customer_259059ee10
ring_42f49fa701,shared_infra_promo_abuse,easy,customer_1cc1a48d02
ring_42f49fa701,shared_infra_promo_abuse,easy,customer_17fc78bf0f
ring_42f49fa701,shared_infra_promo_abuse,easy,customer_e693a5896d
ring_42f49fa701,shared_infra_promo_abuse,easy,customer_916f1ad044
ring_42f49fa701,shared_infra_promo_abuse,easy,customer_a50f588aae
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_871c72218c
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_f16d8a046e
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_24a8a1dd0b
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_c417468bca
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_18d751071e
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_a126d78bfc
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_8d55b308c5
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_f3d8e7f72a
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_49a3c7578e
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_43c880fc9b
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_576cf57610
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_6d3e1d57c4
ring_ff181c4dd0,shared_infra_promo_abuse,easy,customer_afc31634e7
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_42578b981e
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_684d32cf3c
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_0e99b27e9a
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_4a10b1355f
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_172a85ee43
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_4aecb3719a
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_d9fbc583a9
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_80bae70f36
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_9cb9d3f679
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_504c048e17
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_3dc4b1b351
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_64eb7beaab
ring_e56dafe643,shared_infra_promo_abuse,easy,customer_404e15f70d
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_730fdd8cf1
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_a9dcaff8b8
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_5f8a1d1a78
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_0b918ee076
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_4d2163cbcf
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_128ebf5b68
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_3f9dbcd90e
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_d64f24d531
ring_b41f7fe394,shared_infra_promo_abuse,medium,customer_87c0da9f7e
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_fdd66e739d
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_0cebd20dd0
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_712451de19
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_f6b017d657
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_a79d19b497
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_7645c9774a
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_f303b05052
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_f4335a9e73
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_b1e3e35d87
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_c1b82836af
ring_8de1600f2e,shared_infra_promo_abuse,medium,customer_e48061df33
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_abf301e477
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_34e8f2a008
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_3e2a7c639f
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_808ef4a502
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_ec20621e27
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_9467977a3f
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_7ee6f62b98
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_c18f308b65
ring_2936d8b27a,shared_infra_promo_abuse,medium,customer_71adf4d4a0
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_3429e19687
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_eb04993188
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_b907fe6905
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_860254584f
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_59272f6a81
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_1ccb96cef6
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_1bccb4ed9a
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_20423ded21
