txn_id,timestamp,src_account,dst_account,amount,txn_type,device_id,ip_id
txn_16cf0c0031,2026-07-01T22:03:48.813647,customer_018120bee4,merchant_e3f40abbcf,123.82,payment,dev_4cc2298552,ip_e2a936b601
txn_7e6f2a15fa,2026-05-25T20:17:37.680751,customer_6056f0e365,merchant_ce1b94d956,507.72,payment,dev_307abcd0a9,ip_aec8dd11ce
txn_d5553cbb49,2026-05-30T10:02:55.999491,customer_10599c2533,merchant_3f868a4ae4,165.86,payment,dev_92feb02727,ip_aa432b901f
txn_f59589f9b5,2026-06-04T13:07:17.101592,customer_1e5cdd9164,merchant_18e262ed2a,259.64,payment,dev_a1c03d5fb6,ip_4dee6c6c46
txn_9b5f603405,2026-06-03T13:33:43.611412,customer_b67aebb5fa,merchant_379d6889d6,179.4,payment,dev_1700aa68ae,ip_0075b33b24
txn_3509fa17a3,2026-05-28T05:30:47.207093,customer_5a2adb0410,merchant_469b408b42,448.95,payment,dev_e4432e3db5,ip_a79bb751d5
txn_c71577e024,2026-07-25T07:52:48.198589,customer_1deeb12af8,merchant_353fac1801,448.44,payment,dev_c05c2d9b88,ip_8a58f56d2f
txn_f0005639a6,2026-07-28T10:20:48.611748,customer_a494a7e3ed,merchant_ade4dd935e,2058.83,payment,dev_2f2a0c6a4e,ip_5d18cf71d0
txn_a039e2c30e,2026-06-11T05:54:56.720790,customer_1a8b1a33c7,merchant_64b03ac671,291.75,payment,dev_42488bc2c4,ip_33cc09ee98
txn_21276f83ea,2026-06-18T09:22:45.004485,customer_b2e9d5ad97,merchant_d797cd53c6,509.3,payment,dev_37372fb00c,ip_932667ab2c
txn_685bd3bcec,2026-06-17T20:36:28.624070,customer_1af7a4319a,merchant_1e82b251fb,335.03,payment,dev_12d2e44cc0,ip_842549a859
txn_ce4f5d1a2b,2026-06-18T00:30:07.592651,customer_f77248ece2,merchant_324aaa2dbd,1557.93,payment,dev_366d2f67ac,ip_81b8a87313
txn_fdb6784439,2026-07-14T02:20:39.088610,customer_3a9c1bbf62,merchant_a2c7c07d5a,196.06,payment,dev_c3815bb4d4,ip_4cbbf1fab5
txn_a37c8efc3e,2026-05-19T15:47:57.561143,customer_279efc858d,merchant_ced987d1b7,202.42,payment,dev_ffe8cf6ede,ip_e5dd14ee16
txn_b3484e0b06,2026-07-27T20:36:33.699629,customer_8065153f2c,merchant_43e006ed25,182.79,payment,dev_4c824602ba,ip_5a44266c18
txn_5e5e24cb1b,2026-06-10T09:04:23.394921,customer_46ff983cf6,merchant_8f62609182,1516.12,payment,dev_7b4c9ba65f,ip_e516e6d7c8
txn_198a1613cd,2026-07-21T01:08:33.706879,customer_a557776dfe,merchant_ffed855439,356.03,payment,dev_c68a8930a9,ip_5e7b5fdad6
txn_fdeb33bc5b,2026-07-26T23:02:11.444414,customer_75d8c5fe4d,merchant_bbcfc42057,496.9,payment,dev_f177d82e63,ip_1918688d73
txn_9a01339b99,2026-06-03T22:59:08.460482,customer_7b5b25f605,merchant_da0a454260,1584.58,payment,dev_8cb6326eb4,ip_2ccf0030af
txn_21a5d86197,2026-05-14T06:01:28.776420,customer_480bf7b4b4,merchant_3cae68357c,902.36,payment,dev_5e551cb802,ip_933d9e3b44
txn_6588dd6bff,2026-05-04T03:59:55.194002,customer_0e2cb5ac49,merchant_86cdc878e0,126.76,payment,dev_3182721673,ip_06dacae0d8
txn_b47b86efbb,2026-06-15T08:55:49.476474,customer_2f01f49d73,merchant_325eb59299,590.22,payment,dev_c06c672700,ip_1fc999d358
txn_9ab35ac857,2026-06-29T19:30:53.511618,customer_fcf4b481a4,merchant_09aa97b8e1,385.31,payment,dev_8a4e3b3fa0,ip_ccdccd6d77
txn_3ff2b2edaa,2026-06-29T02:31:30.643670,customer_ad7041e65b,merchant_fd17259e8e,450.27,payment,dev_630384f17e,ip_afddd9e641
txn_51fb07f3f0,2026-07-02T14:40:04.509759,customer_4b981ba2b7,merchant_ed1c7ea31d,1046.26,payment,dev_921dbada9c,ip_14c4b04d43
txn_00f98c8803,2026-07-10T18:59:45.407287,customer_d7f844c12b,merchant_31b6385c48,1024.31,payment,dev_847a5f67fc,ip_68b963091f
txn_ec1c8e97d8,2026-06-24T05:40:29.420798,customer_e0ced7ac54,merchant_a79e59d135,198.59,payment,dev_d8e531a282,ip_9d3eb44312
txn_2f6b4d48f6,2026-05-10T14:59:27.100636,customer_eff0ff7c81,merchant_f65d6a4821,714.86,payment,dev_55d60a33d6,ip_fedb9c13b8
txn_68f56c7932,2026-07-27T20:32:55.761546,customer_0e6017469b,merchant_21ccf76238,809.13,payment,dev_44637ddd54,ip_ff3037f843
txn_8a50634c10,2026-07-21T11:09:34.755094,customer_7790c464bb,merchant_c0ad205b97,354.5,payment,dev_fca9f0c254,ip_c30ea7f1ce
txn_ced114921f,2026-06-22T01:58:04.782894,customer_48cea1bacf,merchant_7beae2e135,1322.2,payment,dev_6fa9f68c45,ip_81b8a87313
txn_2033280a4d,2026-07-26T19:30:33.500678,customer_c9ecb3eb3e,merchant_d8c9eefdde,2499.17,payment,dev_1834994f26,ip_dbf2db87e5
txn_f959d912ca,2026-07-28T05:25:44.259283,customer_a1dc3e34e8,merchant_bb6c951fad,205.37,payment,dev_044dca2156,ip_07bec8efe5
txn_8b45763cfe,2026-07-27T04:50:41.297813,customer_6f9fea6b29,merchant_12015ab83d,1285.45,payment,dev_a37dff70bb,ip_c06999bfd9
txn_3f795b8368,2026-07-24T23:35:12.488983,customer_f0593ab743,merchant_ced987d1b7,239.05,payment,dev_386e42f336,ip_83c19a4227
txn_a4bac287cc,2026-07-06T06:35:51.080233,customer_2f01f49d73,merchant_b529aac637,353.86,payment,dev_c06c672700,ip_1fc999d358
txn_57479a0951,2026-07-04T21:11:12.654921,customer_f7a7eddec3,merchant_2e98c6b422,1580.55,payment,dev_498fcb96a8,ip_af448469ee
txn_cfc97a2e54,2026-07-10T13:13:15.182014,customer_ace1f722e1,merchant_efd04f28a0,1103.29,payment,dev_501d40dd51,ip_663760e3e4
txn_55e8754dbc,2026-05-06T09:46:58.503540,customer_8bf9dfe401,merchant_90c42b0cb1,370.93,payment,dev_687b890f1f,ip_21b40d0ea3
txn_024adb808e,2026-06-17T13:55:40.095967,customer_390512c0ba,merchant_490f83daf9,3085.15,payment,dev_aa09669fe6,ip_649bbc480d
txn_9b35328f88,2026-05-24T07:22:26.720369,customer_8385d72fff,merchant_cf021dbdf2,978.1,payment,dev_1c5bdd652e,ip_fa3339fe89
txn_f97ad15599,2026-06-14T00:22:47.688731,customer_fc60529e5d,merchant_ca0ed210fc,966.0,payment,dev_8e974930c2,ip_13229d1ef8
