merchant,start,end,n_accounts,accounts
merchant_30fc98f4d9,2026-06-13T11:05:16.247181,2026-06-13T12:06:48.386953,8,customer_1756c5379a;customer_298e30f7e1;customer_35d9b8e23b;customer_558fee5d55;customer_779c93c9b0;customer_7d3f83c5bd;customer_9f495c5f47;customer_f4d89d751d
merchant_30fc98f4d9,2026-06-25T09:37:42.902936,2026-06-25T09:41:47.300721,4,customer_779c93c9b0;customer_7f64c5beee;customer_9f495c5f47;customer_de96193010
merchant_30fc98f4d9,2026-06-25T10:10:48.068117,2026-06-25T10:36:01.853697,5,customer_1756c5379a;customer_298e30f7e1;customer_35d9b8e23b;customer_558fee5d55;customer_f4d89d751d
merchant_65cc380297,2026-05-15T16:00:22.462024,2026-05-15T16:25:01.775484,4,customer_6053c8e5a0;customer_ad7e33a907;customer_b2e9d5ad97;customer_fd774ad038
merchant_65cc380297,2026-06-15T06:29:49.133244,2026-06-15T06:40:43.137791,6,customer_6053c8e5a0;customer_6b35aa6494;customer_ad7e33a907;customer_b2e9d5ad97;customer_e0df46cec8;customer_fd774ad038
merchant_65cc380297,2026-06-15T23:43:08.738926,2026-06-16T00:09:40.401521,6,customer_6053c8e5a0;customer_6b35aa6494;customer_ad7e33a907;customer_b2e9d5ad97;customer_e0df46cec8;customer_fd774ad038
merchant_65cc380297,2026-07-02T14:50:47.801467,2026-07-02T15:11:04.009028,4,customer_6053c8e5a0;customer_6b35aa6494;customer_b2e9d5ad97;customer_fd774ad038
merchant_ed1c7ea31d,2026-05-13T15:16:28.921509,2026-05-13T15:39:28.539903,6,customer_41f9fde7de;customer_4290b5b75b;customer_519f4c46ca;customer_803527ae9a;customer_b1d9d37997;customer_b6f2c51eb6
merchant_ed1c7ea31d,2026-05-29T07:44:13.373021,2026-05-29T08:11:20.150696,8,customer_41f9fde7de;customer_4290b5b75b;customer_519f4c46ca;customer_a7b524be4c;customer_ac3103e178;customer_b1d9d37997;customer_b6f2c51eb6;customer_e4836cba4e
merchant_ed1c7ea31d,2026-07-26T04:15:26.023857,2026-07-26T04:34:16.339025,5,customer_4290b5b75b;customer_803527ae9a;customer_a7b524be4c;customer_ac3103e178;customer_b1d9d37997
merchant_3852ea0b38,2026-05-01T17:50:52.690475,2026-05-01T18:17:44.052219,4,customer_29065b557b;customer_2b450c9199;customer_54b5a6bd62;customer_dafbaf4cc9
merchant_3852ea0b38,2026-05-01T18:35:19.184141,2026-05-01T19:07:30.403590,6,customer_32f8f63689;customer_9d7dfda680;customer_a4a1a4cb8a;customer_df5eb6295c;customer_eb69bb02e0;customer_fef1949737
merchant_3852ea0b38,2026-05-17T06:20:54.128568,2026-05-17T07:22:34.974349,10,customer_29065b557b;customer_2b450c9199;customer_32f8f63689;customer_54b5a6bd62;customer_9d7dfda680;customer_a4a1a4cb8a;customer_c25636a049;customer_dafbaf4cc9;customer_df5eb6295c;customer_eb69bb02e0
merchant_3852ea0b38,2026-06-13T04:56:00.233279,2026-06-13T05:58:58.116861,8,customer_29065b557b;customer_54b5a6bd62;customer_a4a1a4cb8a;customer_c25636a049;customer_dafbaf4cc9;customer_df5eb6295c;customer_eb69bb02e0;customer_fef1949737
merchant_3852ea0b38,2026-07-21T22:36:39.809550,2026-07-21T22:53:40.385889,4,customer_2b450c9199;customer_a4a1a4cb8a;customer_dafbaf4cc9;customer_eb69bb02e0
merchant_d825833979,2026-07-02T04:06:25.835529,2026-07-02T04:09:35.143155,5,customer_6648d13d46;customer_b1325351d9;customer_bf66f1c660;customer_e5feb8639b;customer_f24fdd5c9c
merchant_d825833979,2026-07-24T10:42:12.925855,2026-07-24T10:44:48.294820,5,customer_10f64c6349;customer_13dc1d2f58;customer_6648d13d46;customer_bf66f1c660;customer_e5feb8639b
merchant_366b4dc189,2026-05-05T08:23:01.897054,2026-05-05T08:25:41.783089,4,customer_45b1409cd1;customer_6f6975ac53;customer_957cca739b;customer_dad1035954
merchant_366b4dc189,2026-05-09T22:36:58.106094,2026-05-09T22:40:07.303322,7,customer_45b1409cd1;customer_6f6975ac53;customer_8495236ce9;customer_8ce08d99b6;customer_957cca739b;customer_dad1035954;customer_e66f4c3725
merchant_366b4dc189,2026-06-28T09:18:09.273858,2026-06-28T09:22:02.783541,5,customer_8495236ce9;customer_8ce08d99b6;customer_957cca739b;customer_dad1035954;customer_e66f4c3725
merchant_366b4dc189,2026-07-05T04:49:09.988394,2026-07-05T04:52:49.489650,6,customer_45b1409cd1;customer_8495236ce9;customer_8ce08d99b6;customer_957cca739b;customer_dad1035954;customer_e66f4c3725
merchant_611fe2c7a4,2026-05-17T02:34:42.496536,2026-05-17T02:37:26.120420,4,customer_409d0ef855;customer_939c4c7d9b;customer_b6067ab67f;customer_e15573bc42
merchant_611fe2c7a4,2026-07-04T07:17:44.960080,2026-07-04T07:20:39.605135,4,customer_7f5c68d98f;customer_939c4c7d9b;customer_cb79405e2e;customer_dbe006a93e
merchant_611fe2c7a4,2026-07-27T08:17:35.411416,2026-07-27T08:20:18.214015,4,customer_7a89f72229;customer_939c4c7d9b;customer_cb79405e2e;customer_e15573bc42
