account_id,flagged_by_detector,archetype,is_true_fraud,risk_score,velocity_txn_per_day,max_amount_zscore,new_counterparty_fraction,n_transactions
merchant_b78292ed4a,flowscope,circular_flow_laundering,True,0.76,2.0,18.41,1.0,2
merchant_b851e6e672,flowscope,circular_flow_laundering,True,0.76,2.0,18.41,1.0,2
merchant_279d559e80,flowscope,circular_flow_laundering,True,0.76,2.0,18.67,1.0,2
merchant_3bd700ca8c,flowscope,circular_flow_laundering,True,0.76,2.0,19.87,1.0,2
merchant_3ff0e9ee3f,flowscope,circular_flow_laundering,True,0.76,2.0,15.63,1.0,2
merchant_3f5bb51e0a,flowscope,circular_flow_laundering,True,0.76,2.0,7.49,1.0,2
merchant_cf56c3fe41,flowscope,circular_flow_laundering,True,0.76,2.0,21.07,1.0,2
merchant_4e5fd050a9,flowscope,circular_flow_laundering,True,0.76,2.0,16.89,1.0,2
merchant_f964fd38a3,flowscope,circular_flow_laundering,True,0.76,2.0,21.07,1.0,2
merchant_77716d620a,flowscope,circular_flow_laundering,True,0.76,2.0,17.65,1.0,2
merchant_a509e8ecfd,fraudar,shared_infra_promo_abuse,False,0.728,1.69,4.23,0.97,148
merchant_95ce7c70a3,fraudar,shared_infra_promo_abuse,False,0.726,1.61,6.8,0.99,142
merchant_d8d6fd44ca,fraudar,shared_infra_promo_abuse,False,0.703,1.33,6.21,0.98,116
merchant_a12b816ca6,fraudar,shared_infra_promo_abuse,False,0.701,1.33,3.22,0.97,118
merchant_65071c01c7,fraudar,shared_infra_promo_abuse,False,0.701,1.26,4.68,1.0,113
merchant_bd40307519,fraudar,shared_infra_promo_abuse,False,0.699,1.34,3.12,0.96,118
merchant_d2a420d1e1,fraudar,shared_infra_promo_abuse,False,0.697,1.26,12.63,0.98,113
merchant_fa3a834e07,fraudar,shared_infra_promo_abuse,False,0.695,1.31,3.48,0.95,117
merchant_611fe2c7a4,fraudar,shared_infra_promo_abuse,False,0.693,1.35,9.13,0.93,121
customer_b1be888859,fraudar,shared_infra_promo_abuse,False,0.639,0.49,4.67,1.0,42
customer_59d2e63d9c,fraudar,shared_infra_promo_abuse,False,0.634,0.48,4.41,0.98,42
customer_df0e91f46e,fraudar,shared_infra_promo_abuse,False,0.633,0.41,6.68,1.0,36
customer_0e6017469b,fraudar,shared_infra_promo_abuse,False,0.631,0.38,5.04,1.0,30
customer_c1489b1b3c,fraudar,shared_infra_promo_abuse,False,0.631,0.38,4.02,1.0,33
customer_7ab4a8b4e3,fraudar,shared_infra_promo_abuse,False,0.631,0.38,3.85,1.0,33
customer_dbd9f0cc07,fraudar,shared_infra_promo_abuse,False,0.631,0.39,3.9,1.0,34
customer_948dc5a84d,fraudar,shared_infra_promo_abuse,False,0.63,0.49,3.19,0.95,43
customer_1dd1e2fd22,fraudar,shared_infra_promo_abuse,False,0.629,0.36,3.11,1.0,27
customer_032cfb2fb8,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.08,1.0,29
customer_95e87e042e,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.37,1.0,25
customer_71c5544ef2,fraudar,shared_infra_promo_abuse,False,0.628,0.35,7.33,1.0,31
customer_5ad59fdf61,fraudar,shared_infra_promo_abuse,False,0.625,0.32,4.18,1.0,26
customer_0c64a3d9c4,fraudar,shared_infra_promo_abuse,False,0.625,0.31,5.68,1.0,26
customer_7b5b25f605,fraudar,shared_infra_promo_abuse,False,0.625,0.46,3.23,0.94,35
customer_7b6daf7c10,fraudar,shared_infra_promo_abuse,False,0.624,0.3,4.25,1.0,26
customer_907965162f,fraudar,shared_infra_promo_abuse,False,0.624,0.3,3.78,1.0,26
customer_0d193263a1,fraudar,shared_infra_promo_abuse,False,0.623,0.42,4.39,0.94,36
customer_6bd6505306,fraudar,shared_infra_promo_abuse,False,0.623,0.28,5.25,1.0,23
customer_c9ecb3eb3e,fraudar,shared_infra_promo_abuse,False,0.622,0.36,8.97,0.97,31
customer_bed4989d42,fraudar,shared_infra_promo_abuse,False,0.622,0.27,4.01,1.0,22
