account_id,flagged_by_detector,archetype,is_true_fraud,risk_score,velocity_txn_per_day,max_amount_zscore,new_counterparty_fraction,n_transactions
merchant_b851e6e672,flowscope,circular_flow_laundering,True,0.76,2.0,18.41,1.0,2
merchant_279d559e80,flowscope,circular_flow_laundering,True,0.76,2.0,18.67,1.0,2
merchant_3ff0e9ee3f,flowscope,circular_flow_laundering,True,0.76,2.0,15.63,1.0,2
merchant_cf56c3fe41,flowscope,circular_flow_laundering,True,0.76,2.0,21.07,1.0,2
merchant_4314227986,flowscope,circular_flow_laundering,True,0.76,2.0,13.71,1.0,2
merchant_4e5fd050a9,flowscope,circular_flow_laundering,True,0.76,2.0,16.89,1.0,2
merchant_b78292ed4a,flowscope,circular_flow_laundering,True,0.76,2.0,18.41,1.0,2
merchant_3bd700ca8c,flowscope,circular_flow_laundering,True,0.76,2.0,19.87,1.0,2
merchant_3f5bb51e0a,flowscope,circular_flow_laundering,True,0.76,2.0,7.49,1.0,2
merchant_f964fd38a3,flowscope,circular_flow_laundering,True,0.76,2.0,21.07,1.0,2
merchant_77716d620a,flowscope,circular_flow_laundering,True,0.76,2.0,17.65,1.0,2
merchant_c6e2221b45,fraudar,shared_infra_promo_abuse,False,0.729,1.7,3.15,0.97,148
merchant_a509e8ecfd,fraudar,shared_infra_promo_abuse,False,0.728,1.69,4.23,0.97,148
merchant_95ce7c70a3,fraudar,shared_infra_promo_abuse,False,0.726,1.61,6.8,0.99,142
merchant_7b8f5fa9d7,fraudar,shared_infra_promo_abuse,False,0.725,1.65,3.99,0.97,147
merchant_2a0753d027,fraudar,shared_infra_promo_abuse,False,0.724,1.66,9.65,0.96,147
merchant_533b76f79e,fraudar,shared_infra_promo_abuse,False,0.723,1.59,4.59,0.98,142
merchant_29de0e5f0f,fraudar,shared_infra_promo_abuse,False,0.722,1.6,4.48,0.97,142
merchant_d797cd53c6,fraudar,shared_infra_promo_abuse,False,0.708,1.55,2.93,0.96,138
merchant_d8d6fd44ca,fraudar,shared_infra_promo_abuse,False,0.703,1.33,6.21,0.98,116
merchant_a787a0a089,fraudar,shared_infra_promo_abuse,False,0.703,1.31,6.65,0.99,115
merchant_a12b816ca6,fraudar,shared_infra_promo_abuse,False,0.701,1.33,3.22,0.97,118
merchant_65071c01c7,fraudar,shared_infra_promo_abuse,False,0.701,1.26,4.68,1.0,113
