account_id,flagged_by_detector,archetype,is_true_fraud,risk_score,velocity_txn_per_day,max_amount_zscore,new_counterparty_fraction,n_transactions
merchant_b851e6e672,flowscope,circular_flow_laundering,True,0.76,2.0,18.41,1.0,2
merchant_4e5fd050a9,flowscope,circular_flow_laundering,True,0.76,2.0,16.89,1.0,2
merchant_3bd700ca8c,flowscope,circular_flow_laundering,True,0.76,2.0,19.87,1.0,2
merchant_77716d620a,flowscope,circular_flow_laundering,True,0.76,2.0,17.65,1.0,2
merchant_279d559e80,flowscope,circular_flow_laundering,True,0.76,2.0,18.67,1.0,2
merchant_3ff0e9ee3f,flowscope,circular_flow_laundering,True,0.76,2.0,15.63,1.0,2
merchant_cf56c3fe41,flowscope,circular_flow_laundering,True,0.76,2.0,21.07,1.0,2
merchant_4314227986,flowscope,circular_flow_laundering,True,0.76,2.0,13.71,1.0,2
merchant_b78292ed4a,flowscope,circular_flow_laundering,True,0.76,2.0,18.41,1.0,2
merchant_3f5bb51e0a,flowscope,circular_flow_laundering,True,0.76,2.0,7.49,1.0,2
merchant_f964fd38a3,flowscope,circular_flow_laundering,True,0.76,2.0,21.07,1.0,2
merchant_dcf26616ec,fraudar,shared_infra_promo_abuse,False,0.73,1.64,6.74,0.99,146
merchant_c6e2221b45,fraudar,shared_infra_promo_abuse,False,0.729,1.7,3.15,0.97,148
merchant_a509e8ecfd,fraudar,shared_infra_promo_abuse,False,0.728,1.69,4.23,0.97,148
merchant_64b03ac671,fraudar,shared_infra_promo_abuse,False,0.727,1.69,3.19,0.96,151
merchant_d297bc5cb8,fraudar,shared_infra_promo_abuse,False,0.727,1.62,5.03,0.99,144
merchant_ed1c7ea31d,fraudar,shared_infra_promo_abuse,False,0.727,1.8,5.37,0.92,155
merchant_95ce7c70a3,fraudar,shared_infra_promo_abuse,False,0.726,1.61,6.8,0.99,142
merchant_7b8f5fa9d7,fraudar,shared_infra_promo_abuse,False,0.725,1.65,3.99,0.97,147
merchant_2a0753d027,fraudar,shared_infra_promo_abuse,False,0.724,1.66,9.65,0.96,147
merchant_533b76f79e,fraudar,shared_infra_promo_abuse,False,0.723,1.59,4.59,0.98,142
merchant_b141561ac1,fraudar,shared_infra_promo_abuse,False,0.722,1.57,7.33,0.98,141
merchant_29de0e5f0f,fraudar,shared_infra_promo_abuse,False,0.722,1.6,4.48,0.97,142
merchant_52e70721ce,fraudar,shared_infra_promo_abuse,False,0.72,1.54,5.51,0.98,133
merchant_d797cd53c6,fraudar,shared_infra_promo_abuse,False,0.708,1.55,2.93,0.96,138
merchant_d8d6fd44ca,fraudar,shared_infra_promo_abuse,False,0.703,1.33,6.21,0.98,116
merchant_a787a0a089,fraudar,shared_infra_promo_abuse,False,0.703,1.31,6.65,0.99,115
merchant_5b029db4a1,fraudar,shared_infra_promo_abuse,False,0.701,1.32,3.8,0.97,115
merchant_65071c01c7,fraudar,shared_infra_promo_abuse,False,0.701,1.26,4.68,1.0,113
merchant_a12b816ca6,fraudar,shared_infra_promo_abuse,False,0.701,1.33,3.22,0.97,118
merchant_9ab8cdfd4e,fraudar,shared_infra_promo_abuse,False,0.7,1.32,4.48,0.97,116
merchant_ac46d47e02,fraudar,shared_infra_promo_abuse,False,0.7,1.31,5.23,0.97,115
merchant_9e183bbb0f,fraudar,shared_infra_promo_abuse,False,0.7,1.34,8.45,0.97,119
merchant_68505ba3e8,fraudar,shared_infra_promo_abuse,False,0.699,1.28,5.23,0.98,112
merchant_5e9aa738ba,fraudar,shared_infra_promo_abuse,False,0.699,1.26,3.06,0.99,112
merchant_bd40307519,fraudar,shared_infra_promo_abuse,False,0.699,1.34,3.12,0.96,118
merchant_5d52371562,fraudar,shared_infra_promo_abuse,False,0.697,1.3,6.48,0.97,115
merchant_d2a420d1e1,fraudar,shared_infra_promo_abuse,False,0.697,1.26,12.63,0.98,113
merchant_04fcd92764,fraudar,shared_infra_promo_abuse,False,0.697,1.24,3.51,0.99,108
merchant_d238786ef0,fraudar,shared_infra_promo_abuse,False,0.697,1.32,3.62,0.96,118
merchant_734fbb4cd6,fraudar,shared_infra_promo_abuse,False,0.696,1.25,5.04,0.98,112
merchant_ac01143fca,fraudar,shared_infra_promo_abuse,False,0.696,1.27,7.8,0.97,114
merchant_f8ca4fd0ed,fraudar,shared_infra_promo_abuse,False,0.696,1.31,3.76,0.96,117
merchant_72eb223a0d,fraudar,shared_infra_promo_abuse,False,0.695,1.31,5.23,0.95,117
merchant_1e805c6145,fraudar,shared_infra_promo_abuse,False,0.695,1.23,4.37,0.98,110
merchant_fa3a834e07,fraudar,shared_infra_promo_abuse,False,0.695,1.31,3.48,0.95,117
merchant_325eb59299,fraudar,shared_infra_promo_abuse,False,0.695,1.27,13.04,0.96,114
merchant_8ff8941e6e,fraudar,shared_infra_promo_abuse,False,0.694,1.25,5.55,0.97,112
merchant_394ec94dc9,fraudar,shared_infra_promo_abuse,False,0.694,1.24,5.96,0.97,111
merchant_7a18bddbe7,fraudar,shared_infra_promo_abuse,False,0.694,1.25,3.35,0.97,108
merchant_611fe2c7a4,fraudar,shared_infra_promo_abuse,False,0.693,1.35,9.13,0.93,121
merchant_d7a2b30fcd,fraudar,shared_infra_promo_abuse,False,0.693,1.27,5.05,0.96,112
merchant_062a932540,fraudar,shared_infra_promo_abuse,False,0.693,1.23,5.18,0.97,109
merchant_68cc317692,fraudar,shared_infra_promo_abuse,False,0.692,1.2,10.69,0.98,104
merchant_011f830b5f,fraudar,shared_infra_promo_abuse,False,0.692,1.22,4.66,0.97,106
merchant_d651598108,fraudar,shared_infra_promo_abuse,False,0.692,1.18,4.98,0.99,105
merchant_c513d2154c,fraudar,shared_infra_promo_abuse,False,0.691,1.19,36.95,0.98,106
merchant_744e3748c6,fraudar,shared_infra_promo_abuse,False,0.691,1.29,6.09,0.94,113
merchant_6e98a2e7b7,fraudar,shared_infra_promo_abuse,False,0.691,1.36,2.89,0.98,121
merchant_490ebaa434,fraudar,shared_infra_promo_abuse,False,0.69,1.24,4.66,0.95,110
merchant_db2782bfe6,fraudar,shared_infra_promo_abuse,False,0.689,1.23,3.66,0.95,109
merchant_b28b91e2e8,fraudar,shared_infra_promo_abuse,False,0.689,1.17,4.99,0.98,103
merchant_e02f69a9e6,fraudar,shared_infra_promo_abuse,False,0.689,1.26,4.5,0.94,113
merchant_166598d37b,fraudar,shared_infra_promo_abuse,False,0.688,1.22,6.94,0.95,109
merchant_4b77d1b94d,fraudar,shared_infra_promo_abuse,False,0.688,1.24,5.18,0.94,107
merchant_43683671a7,fraudar,shared_infra_promo_abuse,False,0.687,1.3,5.92,0.91,117
merchant_85a984a4af,fraudar,shared_infra_promo_abuse,False,0.686,1.1,7.82,0.99,99
merchant_044b057689,fraudar,shared_infra_promo_abuse,False,0.686,1.1,5.09,0.99,95
merchant_2be99ef2a2,fraudar,shared_infra_promo_abuse,False,0.686,1.1,15.01,0.99,97
merchant_2077899195,fraudar,shared_infra_promo_abuse,False,0.685,1.32,2.88,0.97,118
merchant_ac96661998,fraudar,shared_infra_promo_abuse,False,0.684,1.15,5.02,0.96,103
merchant_878f4d1af0,fraudar,shared_infra_promo_abuse,False,0.684,1.1,11.98,0.98,96
merchant_325fbc115b,fraudar,shared_infra_promo_abuse,False,0.682,1.13,3.97,0.96,99
merchant_c82d941c45,fraudar,shared_infra_promo_abuse,False,0.681,1.09,8.04,0.97,96
merchant_dd24fb8842,fraudar,shared_infra_promo_abuse,False,0.68,1.15,7.89,0.94,103
merchant_f7f4f2e784,fraudar,shared_infra_promo_abuse,False,0.68,1.27,2.9,0.96,114
merchant_c9d63dba04,fraudar,shared_infra_promo_abuse,False,0.678,1.13,2.98,0.95,98
merchant_48ac7c6bc1,fraudar,shared_infra_promo_abuse,False,0.678,1.27,2.89,0.96,113
merchant_ced987d1b7,fraudar,shared_infra_promo_abuse,False,0.671,0.97,9.08,0.97,87
merchant_cc6fee2e1c,fraudar,shared_infra_promo_abuse,False,0.668,1.66,2.54,0.98,148
merchant_43e006ed25,fraudar,shared_infra_promo_abuse,False,0.647,1.58,2.44,0.98,142
merchant_30f8830764,flowscope,circular_flow_laundering,True,0.645,0.56,18.16,1.0,4
