detector,param,precision,recall,n_flagged,fp,fn,financial_cost,investigators_needed
fraudar,k_std=0.25,0.13,0.987,601,523,1,82701.17,31
fraudar,k_std=0.5,0.145,0.987,537,459,1,73101.17,27
fraudar,k_std=0.75,0.182,0.975,422,345,2,56989.08,22
fraudar,k_std=1.0,0.213,0.937,347,273,5,49108.96,18
fraudar,k_std=1.25,0.292,0.785,212,150,17,56492.7,11
fraudar,k_std=1.5,0.324,0.696,170,115,24,81633.31,9
fraudar,k_std=1.75,0.287,0.519,143,102,38,126995.96,8
fraudar,k_std=2.0,0.395,0.405,81,49,47,159425.71,5
fraudar,k_std=2.25,0.3,0.19,50,35,64,252934.65,3
fraudar,k_std=2.5,0.381,0.101,21,13,71,302842.62,2
copycatch,"window=10,min_acc=3",1.0,0.869,53,0,8,79553.37,3
copycatch,"window=10,min_acc=4",1.0,0.623,38,0,23,273833.31,2
copycatch,"window=10,min_acc=5",1.0,0.41,25,0,36,356739.58,2
copycatch,"window=10,min_acc=6",1.0,0.115,7,0,54,461179.39,1
copycatch,"window=15,min_acc=3",1.0,0.951,58,0,3,7158.87,3
copycatch,"window=15,min_acc=4",1.0,0.754,46,0,15,165020.46,3
copycatch,"window=15,min_acc=5",1.0,0.41,25,0,36,356739.58,2
copycatch,"window=15,min_acc=6",1.0,0.213,13,0,48,405190.21,1
copycatch,"window=30,min_acc=3",1.0,0.951,58,0,3,7158.87,3
copycatch,"window=30,min_acc=4",1.0,0.951,58,0,3,7158.87,3
copycatch,"window=30,min_acc=5",1.0,0.787,48,0,13,55957.43,3
copycatch,"window=30,min_acc=6",1.0,0.459,28,0,33,263649.33,2
copycatch,"window=60,min_acc=3",1.0,0.951,58,0,3,7158.87,3
copycatch,"window=60,min_acc=4",1.0,0.951,58,0,3,7158.87,3
copycatch,"window=60,min_acc=5",1.0,0.82,50,0,11,28386.02,3
copycatch,"window=60,min_acc=6",1.0,0.705,43,0,18,44155.18,3
flowscope,"span=20,ratio=0.2",1.0,0.433,13,0,17,375446.97,1
flowscope,"span=20,ratio=0.3",1.0,0.433,13,0,17,375446.97,1
flowscope,"span=20,ratio=0.5",1.0,0.433,13,0,17,375446.97,1
flowscope,"span=20,ratio=0.7",1.0,0.433,13,0,17,375446.97,1
flowscope,"span=40,ratio=0.2",1.0,0.6,18,0,12,278953.56,1
flowscope,"span=40,ratio=0.3",1.0,0.6,18,0,12,278953.56,1
flowscope,"span=40,ratio=0.5",1.0,0.6,18,0,12,278953.56,1
flowscope,"span=40,ratio=0.7",1.0,0.6,18,0,12,278953.56,1
flowscope,"span=60,ratio=0.2",1.0,1.0,30,0,0,0.0,2
flowscope,"span=60,ratio=0.3",1.0,1.0,30,0,0,0.0,2
flowscope,"span=60,ratio=0.5",1.0,1.0,30,0,0,0.0,2
flowscope,"span=60,ratio=0.7",1.0,0.733,22,0,8,175111.18,2
flowscope,"span=120,ratio=0.2",1.0,1.0,30,0,0,0.0,2
flowscope,"span=120,ratio=0.3",1.0,1.0,30,0,0,0.0,2
flowscope,"span=120,ratio=0.5",1.0,1.0,30,0,0,0.0,2
flowscope,"span=120,ratio=0.7",1.0,0.733,22,0,8,175111.18,2
flowscope,"span=180,ratio=0.2",1.0,1.0,30,0,0,0.0,2
flowscope,"span=180,ratio=0.3",1.0,1.0,30,0,0,0.0,2
flowscope,"span=180,ratio=0.5",1.0,1.0,30,0,0,0.0,2
flowscope,"span=180,ratio=0.7",1.0,0.733,22,0,8,175111.18,2
flowscope,"span=300,ratio=0.2",1.0,1.0,30,0,0,0.0,2
flowscope,"span=300,ratio=0.3",1.0,1.0,30,0,0,0.0,2
flowscope,"span=300,ratio=0.5",1.0,1.0,30,0,0,0.0,2
flowscope,"span=300,ratio=0.7",1.0,0.733,22,0,8,175111.18,2
