rank,selected,detector,archetype,n_accounts,exposure_rs,effort_hours,confidence,why_flagged,is_genuine_fraud_VALIDATION_ONLY
1,True,flowscope,circular_flow_laundering,4,75536.1,1.6,0.877,"4-hop circular transaction flow, amount conserved at 84% across hops, completed in 15 minutes (FlowScope-lite flow signal)",True
2,True,flowscope,circular_flow_laundering,4,67464.47,1.6,0.889,"4-hop circular transaction flow, amount conserved at 86% across hops, completed in 14 minutes (FlowScope-lite flow signal)",True
3,True,flowscope,circular_flow_laundering,5,82925.16,2.0,0.79,"5-hop circular transaction flow, amount conserved at 71% across hops, completed in 23 minutes (FlowScope-lite flow signal)",True
4,True,flowscope,circular_flow_laundering,4,63730.32,1.6,0.783,"4-hop circular transaction flow, amount conserved at 82% across hops, completed in 45 minutes (FlowScope-lite flow signal)",True
5,True,flowscope,circular_flow_laundering,8,113901.92,3.2,0.668,"8-hop circular transaction flow, amount conserved at 63% across hops, completed in 53 minutes (FlowScope-lite flow signal)",True
6,True,fraudar,shared_infra_promo_abuse,21,187260.05,8.4,1.0,"21 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
7,True,flowscope,circular_flow_laundering,5,34766.31,2.0,0.849,"5-hop circular transaction flow, amount conserved at 80% across hops, completed in 18 minutes (FlowScope-lite flow signal)",True
8,True,fraudar,shared_infra_promo_abuse,5,33722.86,2.0,0.8,"5 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
9,True,copycatch,lockstep_chargeback_ring,7,45975.3,2.8,0.894,7 accounts filed chargebacks against merchant_366b4dc189 within a 3-minute window (CopyCatch-lite lockstep signal),True
10,True,fraudar,shared_infra_promo_abuse,8,48817.04,3.2,1.0,"8 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
11,True,copycatch,lockstep_chargeback_ring,6,35094.81,2.4,0.825,6 accounts filed chargebacks against merchant_65cc380297 within a 11-minute window (CopyCatch-lite lockstep signal),True
12,True,fraudar,shared_infra_promo_abuse,5,28642.51,2.0,0.8,"5 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
13,True,fraudar,shared_infra_promo_abuse,11,62565.47,4.4,1.0,"11 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
14,False,fraudar,shared_infra_promo_abuse,6,33767.98,2.4,0.9,"6 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
15,True,copycatch,lockstep_chargeback_ring,5,27850.18,2.0,0.806,5 accounts filed chargebacks against merchant_ed1c7ea31d within a 9-minute window (CopyCatch-lite lockstep signal),True
16,False,fraudar,shared_infra_promo_abuse,3,16642.09,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
17,False,copycatch,lockstep_chargeback_ring,5,25570.24,2.0,0.831,5 accounts filed chargebacks against merchant_366b4dc189 within a 4-minute window (CopyCatch-lite lockstep signal),True
18,False,copycatch,lockstep_chargeback_ring,6,30492.09,2.4,0.747,6 accounts filed chargebacks against merchant_65cc380297 within a 27-minute window (CopyCatch-lite lockstep signal),True
19,False,copycatch,lockstep_chargeback_ring,5,25279.3,2.0,0.834,5 accounts filed chargebacks against merchant_d825833979 within a 3-minute window (CopyCatch-lite lockstep signal),True
20,True,fraudar,shared_infra_promo_abuse,2,10019.33,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
21,False,copycatch,lockstep_chargeback_ring,5,22300.01,2.0,0.756,5 accounts filed chargebacks against merchant_ed1c7ea31d within a 19-minute window (CopyCatch-lite lockstep signal),True
22,False,copycatch,lockstep_chargeback_ring,4,17748.6,1.6,0.806,4 accounts filed chargebacks against merchant_611fe2c7a4 within a 3-minute window (CopyCatch-lite lockstep signal),True
23,False,copycatch,lockstep_chargeback_ring,5,21293.87,2.0,0.837,5 accounts filed chargebacks against merchant_d825833979 within a 3-minute window (CopyCatch-lite lockstep signal),True
24,False,fraudar,shared_infra_promo_abuse,3,12732.54,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
25,False,copycatch,lockstep_chargeback_ring,6,24851.54,2.4,0.862,6 accounts filed chargebacks against merchant_366b4dc189 within a 4-minute window (CopyCatch-lite lockstep signal),True
