account_id,device_id
merchant_ec9ce3e9c9,dev_e521d4ed77
merchant_4869d01e90,dev_b3df262029
merchant_4869d01e90,dev_e835d5bb21
merchant_9090dca139,dev_b53854c52f
merchant_3935cf2849,dev_1d7c0148ed
merchant_eb816419a6,dev_ac078ad114
merchant_fde59f6f0b,dev_d7863a4fab
merchant_a7425df85c,dev_6d11b5ec8f
merchant_a7425df85c,dev_171f0e473f
merchant_cbc243abfa,dev_329c39971c
merchant_d037d5b0a0,dev_6a125d6a5b
merchant_c0783aa99d,dev_cdb5437838
merchant_99c7b17ec8,dev_add1a6fba8
merchant_25dfbf9b45,dev_4873961a06
merchant_dbacc94f60,dev_40a6ff9eac
merchant_53f3cdb874,dev_85460aed69
merchant_e43f150919,dev_7120bcc88b
merchant_25abd27382,dev_2d99e92589
merchant_da61796d7e,dev_9753e59176
merchant_8a411350fb,dev_7354d6fc55
merchant_8a411350fb,dev_5739ec3742
merchant_8a411350fb,dev_0857464f4b
merchant_0d1d66409f,dev_80fccc4d98
merchant_38f3bfe037,dev_0f26bc0549
merchant_75d99a584c,dev_352fff995f
merchant_439cce95d3,dev_bc678801e7
merchant_1bdae7a9c5,dev_40e1246c94
merchant_f5c0d145dc,dev_3ba8058a1d
merchant_152c920b1c,dev_920ca1f164
merchant_a89f9f2a22,dev_50d739cfc2
merchant_a89f9f2a22,dev_3e3d519507
merchant_a89f9f2a22,dev_d6badb3a31
merchant_ab277336ae,dev_0e03620172
merchant_ab277336ae,dev_3c2837767f
merchant_ab277336ae,dev_00cf09c9cb
merchant_92201205cc,dev_2f96453977
merchant_7c7572abc6,dev_260171ee3f
merchant_5994af6dfb,dev_77509da832
merchant_b7acf4b341,dev_eca42416e7
merchant_d80c8181b9,dev_366201f1f5
merchant_d80c8181b9,dev_dae1eb780d
merchant_43d3b281c6,dev_77c38ddda4
merchant_4738afed23,dev_5be41da448
merchant_86271d0765,dev_592c06e1f4
merchant_c0ab1feb2b,dev_01f3ed108a
merchant_c0ab1feb2b,dev_fd81973c4d
merchant_08959685a4,dev_5f4b3c1f92
merchant_6f3a62a07a,dev_e835d5bb21
merchant_6f3a62a07a,dev_0146586488
merchant_e379dedb67,dev_aec46841a9
merchant_e379dedb67,dev_2f426932ab
merchant_fdc0364ac5,dev_8b854fc51e
merchant_87a2d56803,dev_eca42416e7
merchant_87a2d56803,dev_73f93b4299
merchant_7f492ee913,dev_0120e17589
merchant_3b11a65b67,dev_df5a293159
merchant_6e1172dc5b,dev_e36417856d
merchant_6e1172dc5b,dev_e2d79234d3
merchant_e6712f2259,dev_0cc6d30b8f
merchant_e6712f2259,dev_ce575bf94b
merchant_1fa724a687,dev_93941ea486
merchant_2ea5399057,dev_d605e5dc85
merchant_2ea5399057,dev_52614041f3
merchant_9e5c756bb3,dev_202b407799
merchant_9e5c756bb3,dev_6d008104fa
merchant_2fc5848d31,dev_830050108d
merchant_130fb529b0,dev_e521d4ed77
merchant_4869fdb3cd,dev_c270f3f1ea
merchant_6f0db871bb,dev_a3049ac5fd
merchant_d1917d613f,dev_5c1da83d9c
merchant_d1917d613f,dev_14297e4386
merchant_4945d02da9,dev_b9820359d5
merchant_08c8585332,dev_001967d0de
merchant_c4cacb5d24,dev_6d11b5ec8f
merchant_0c43dd37c3,dev_591bc9afa4
merchant_0c43dd37c3,dev_a81c8f2813
merchant_0c43dd37c3,dev_c446709d0c
merchant_befe57f2dd,dev_cc485ffbef
merchant_dd802c1478,dev_da794cc8c2
merchant_dd802c1478,dev_9753e59176
merchant_46648c04b2,dev_79a6def033
merchant_46648c04b2,dev_3d271fce27
merchant_fef0837989,dev_e6140bea33
merchant_fef0837989,dev_c1df4a4c72
merchant_9bc2c3e8c9,dev_87e274ad4c
merchant_c6bbd4333e,dev_c812f36be4
merchant_abba9da7dd,dev_3179cbebd9
merchant_abba9da7dd,dev_ce58d3cb10
merchant_a059273475,dev_e39500e816
merchant_93fafadd92,dev_b50a8d5f89
merchant_f058884752,dev_2c8fe8826d
merchant_43bc3e5c5d,dev_f68a52dd85
merchant_43bc3e5c5d,dev_68a14a86b2
merchant_43bc3e5c5d,dev_27123e07b8
merchant_8bf26d5375,dev_46e06b066b
merchant_8dfd84552d,dev_7058741e5f
merchant_cb0e966ab1,dev_ae58a03713
merchant_cb0e966ab1,dev_ea43fe5509
merchant_cb0e966ab1,dev_5ba79a3d6b
merchant_4cd3c53301,dev_4d5d0bb576
merchant_5eb73a8bcb,dev_5b9014dd24
merchant_97e1afd66b,dev_b8b24d5d42
merchant_55116d90c8,dev_c40218f4bb
merchant_a9ebcdda9c,dev_f630a8af1c
merchant_a9ebcdda9c,dev_8a20f6f47a
merchant_fb8b76a5cc,dev_c446709d0c
merchant_aae739dabf,dev_ea0d378483
merchant_aae739dabf,dev_cd00ee0aca
merchant_aae739dabf,dev_198282c610
merchant_d8b572684f,dev_198282c610
merchant_c99cc59367,dev_d4a9dd8631
merchant_4a18655636,dev_a94ce26927
merchant_c6a655e51b,dev_8d102859aa
merchant_653750f370,dev_4bec9f62c1
merchant_ce61aa080b,dev_e7baadf576
merchant_5e7b3b0a5c,dev_9250f9deb0
merchant_8390deb3f8,dev_f3bd9b8b68
merchant_c2d93a169e,dev_7c59a3e4d3
merchant_4da82e5fe2,dev_3d34fdefe3
