txn_id,timestamp,src_account,dst_account,amount,txn_type,device_id,ip_id
txn_612ee3134e,2026-05-08T04:13:53.412496,customer_900c79b6b7,merchant_f349e4f993,104.65,payment,dev_0ce2488a89,ip_43cb0cae40
txn_50b9c4e66c,2026-05-13T21:37:35.210247,customer_36a7e9a89f,merchant_befe57f2dd,411.84,payment,dev_5e003e8a56,ip_fd2dea7190
txn_18b6c4a2c7,2026-05-29T18:48:01.341045,merchant_899a0b5d7b,merchant_65fe126f1b,296.28,payment,dev_ba19f71292,ip_4eef6c6c8d
txn_a27ec74cfa,2026-07-26T23:41:06.198158,customer_2f219f9ee2,merchant_3935cf2849,273.25,payment,dev_ce80b1361f,ip_8d97aacb28
txn_c858bcf0d9,2026-05-16T14:32:44.965951,customer_ae465c1e4b,merchant_961e20cd9a,299.49,payment,dev_24cc9d4b92,ip_b6f338e21d
txn_0baa7ffb32,2026-05-24T17:19:36.545402,customer_c0bf7f3554,merchant_948b0b1dbf,122.54,payment,dev_e9661ee296,ip_1a003bc438
txn_4ceda92d9c,2026-06-22T03:06:47.624885,customer_bdf7415957,merchant_439cce95d3,429.88,payment,dev_1531bfab16,ip_f7b8e3aac4
txn_0fccdfcef4,2026-05-24T07:12:30.883434,customer_978d5082a9,merchant_6d405a5a50,105.87,payment,dev_4399c9107f,ip_9a7becf09d
txn_113a40bee1,2026-05-03T11:50:27.654428,customer_50f12dbd36,merchant_a7e7eac6eb,423.82,payment,dev_8c0ee3864b,ip_c01ca93f77
txn_e69452091f,2026-06-13T19:25:47.997814,customer_b13ed128dd,merchant_e371ce86cf,334.71,payment,dev_11ce68fa55,ip_294a569353
txn_785bcf2903,2026-05-08T14:42:08.013431,merchant_75d99a584c,customer_689b97cab8,164.9,refund,dev_c804265b79,ip_c54f27a17c
txn_b5e30765a1,2026-07-02T23:45:04.808909,customer_1237560d76,merchant_1043518fa9,154.49,payment,dev_084eb20b88,ip_24a8fa6fca
txn_8b3c552ef6,2026-07-08T11:39:10.721610,customer_7827fe1f5b,merchant_506509e4a6,806.56,payment,dev_bac311e78f,ip_4cb5994425
txn_615936aede,2026-07-23T20:45:09.911777,customer_0407e4bb96,merchant_a017e64d2a,46.69,payment,dev_80b9a282f5,ip_6e6d115d4a
txn_22f5004503,2026-06-02T06:23:36.357435,customer_9587cdbf09,merchant_a017e64d2a,181.88,payment,dev_538728b6d9,ip_a019f28202
txn_a8873137d5,2026-07-20T18:24:05.488334,customer_ec4b6907d5,merchant_dfa455d9a4,1342.02,payment,dev_cabd53f7a9,ip_0465b242ed
txn_bbaa1422b5,2026-07-09T09:34:06.171240,merchant_abba9da7dd,customer_dee78a423e,528.57,refund,dev_381651cb3d,ip_fd2dea7190
txn_6d26392924,2026-07-24T06:12:41.202173,customer_af0435bbb6,merchant_d8b572684f,199.19,payment,dev_bc61c36ab2,ip_3fb9b120d7
txn_536c6e7494,2026-05-17T06:39:54.363182,customer_7ea5074810,merchant_39683a597a,478.04,payment,dev_dd22aa9cd1,ip_85fea927ea
txn_fd64eff72f,2026-06-03T09:39:04.214195,customer_94ec23e7c3,merchant_799537335e,2908.34,payment,dev_d387703b0f,ip_b332fee9bf
txn_b8d4b38d70,2026-05-18T17:36:34.330383,customer_0407e4bb96,merchant_d8442177cb,508.64,payment,dev_3cafe1f304,ip_6e6d115d4a
txn_c30b33961a,2026-07-23T06:25:12.988673,customer_29439f08bc,merchant_bb232677d2,497.89,payment,dev_c188e962bd,ip_b86e04d7cb
txn_78b8ecb188,2026-05-10T18:51:49.240495,customer_2404eaf503,merchant_ff52598de5,860.11,payment,dev_a820c47a58,ip_f1e37fc110
txn_d4be05ec5a,2026-05-28T04:43:26.347947,customer_d9e6734414,merchant_ecb93f6a38,966.6,payment,dev_bb9f1c2649,ip_9d02cf22e3
txn_e4795d616e,2026-05-16T13:32:59.737334,customer_b59e0d5077,merchant_84117374bc,1255.43,payment,dev_eabad1cb3e,ip_63aa919cd2
txn_49d9b0fd95,2026-06-24T00:44:35.396939,customer_4af6e28761,merchant_af5b743aec,333.71,payment,dev_a1dab2f364,ip_1be1612aac
txn_d2a707b990,2026-07-24T09:10:09.919188,customer_8747b6c70e,merchant_914237b590,532.85,payment,dev_2007565541,ip_18ae69f536
txn_3080ddaa57,2026-07-04T08:56:27.967592,merchant_214ece1444,customer_867e4a9a7f,104.11,refund,dev_9aff1ae055,ip_ce245fa36a
